userName,content,at
Guz Ery,"Banyak kupon tapi ga bisa dipake, kupon hangus, store offline terus, diproses lama Tolong di perbaiki ya, nanti klo sudah bisa bintang di up lagi",2022-11-11 07:14:17
Anisa Racil,Susah banget buat login..,2022-11-10 17:44:05
1242 Farrel Christian Sioe,Aplikasinya error melulu jelek la servernya,2022-11-10 16:48:26
Surya,Aplikasinya masih belum bisa dibuka,2022-11-10 16:45:15
Raditya Arlan Erlangga,"Jangan di download deh apps ini, eror mulu selama seminggu akhirnya rewards hilang",2022-11-10 16:41:33
Sonnu Surkhpuria,Eror Mulu... Kartu tinggal dirumah.. ujungnya cash.. ribet dah. Di uninstall install ulang juga Masi g bisa. Min tolong buat apk baru aja .. klo yg ini ngadat ..,2022-11-10 16:37:12
Vey Linz,Kenapa app tetap gak bisa dbuka..smpai saat ini tetap aja gak bisa.. Tlg donk segera d perbaiki,2022-11-10 16:31:16
Fealty Joslyn,Payah g bisa login,2022-11-10 16:20:15
Hadiid Adit,Payah gangguan trs,2022-11-10 16:07:28
Silvi Sari,Aku mau pesen tapi ga bisa hanyaa logonya sajaa gmna si ga di bener²rin jdi terhalang bgt buat ngopi jadinya huh:(,2022-11-10 16:05:56
Rina Anggraini,Lebih dari seminggu apps ga bisa dibuka. Lambat sekali pembenahannya! Banyak reward yang tidak bisa diclaim karena apps error,2022-11-10 15:51:18
Abdillah MD Abdullah,"Be Better Be the Best Ayo duong sdh mau malam minggu, apk masih belom bisa digunakan Jangan lupa bawa STARBUCKS CARD, alt kalo STARBUCKS APKnya masih NGADAT",2022-11-10 15:43:58
disgang,Gbisa dibika aplikasinya ya gmn nih stwrbucks,2022-11-10 15:37:45
Admin,"Tidak bisa login kemarim dan hari ini, mohon si fix terimakasih",2022-11-10 15:37:41
Rakha Adyatma,TIDAK BISA DIBUKA!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2022-11-10 15:15:22
kamikhami,Astaga ini kenapa error lagi sih. Duh gak worth it jadinya.,2022-11-10 15:13:52
Priskila Anatiya,"Tolong segera diperbaiki, saya mau scan barcode gabisa dibuka aplikasinya. Jaringan stabil tapi aplikasi masih eror",2022-11-10 15:13:35
M. Musyfiq Hidayat,"Loading screen (muncul logo doang) padahal internet data masih ada kuota dan bgitupun dengan wifi jga sama tidak bisa masuk ke aplikasi, tolong segera diperbaiki!!!",2022-11-10 14:07:22
retno noviyanti,"Aplikasi ga bisa dibuka sama sekali cuma muter2 aja,, aplikasinya payah",2022-11-10 14:05:04
Bryan Mard,Ga bisa login susah masuknya,2022-11-10 13:50:28
Sok Bol,Baru mau daftar sampe cape bgt ketik kode otp padahal betul tapi tetep ga match,2022-11-10 13:39:13
fandi wahono,Erore,2022-11-10 13:30:53
Smeiisyarah,"Apk nya gak jalan, cuma muncul logo depan aja, gimana nih mau dipakai lagi 🤦🏼‍♀️",2022-11-10 13:18:51
Rafi,Aplikasi gak bisa dibuka sama sekali,2022-11-10 13:14:08
Muhammad Farid Akbar (Farid),"Kemarin aplikasi normal dan berjalan seperti biasanya, hari ini saat dibuka stuck di logo Starbucks dan tidak bisa login, tolong kepada tim Starbucks untuk menyelesaikan perihal ini di aplikasi anda",2022-11-10 13:12:56
saiful anwar,Perbaiki dulu bro,2022-11-10 13:08:05
Amaris Rivai,Apaan ni aplikasi Mao dibuka aja loadingny lama banget cuma tampilan logo doang...lama banget g masuk masuk..benerin dulu aplikasiny lah ...masa kopi mahal aplikasi nya lemot,2022-11-10 13:02:48
Muhammad Rizal Nurfikri,Tidak bisa registrasi,2022-11-10 12:53:56
reza iryanda,"Bagusin dulu aplikasi nya, asli bug trus, di update dong aplikasi nya, masak aplikasi begini terakhir update 31 agustus",2022-11-10 12:42:28
Rustandi Ramadhan,"Tidak bisa login dan selalu muncul keterangan ""something went wrong"". Jadinya saya gak jadi beli minuman di tumblr day. Mana saldo yang ada di akun saya jumlahnya lumayan masih banyak. Tolong segera diperbaiki bugs nya min. Saya jadinya ga berani isi saldo, takut nyangkut kayak gini terus.",2022-11-10 12:34:12
Daniel,"help, ini masih stuck login. cuma muncul logo sbucks nya",2022-11-10 12:31:45
rafik shulhan,Saldo gue banyak . Aplikasi dibuka kagak bisa . Saldo gua dipinjem dulu kali ya Ama Starbucks,2022-11-10 12:18:40
Ade Nia utami,"Apk ga bisa daftar, gimana si",2022-11-10 11:29:14
Ardhia Mangku Ikhsan,"Kalian ini brand besar bikin app gak becus, tambah anggaran lah buat nge hire developer yg top. Masa kalah sama Kopi Kenangan!",2022-11-10 11:17:55
Mochammad Syaifuddin,"Hai, saya cukup terbantu dengan aplikasi ini tentang promo dan lain lainnya. Bisa minta tolong di percepat perbaikan sistem nya? Loadingnya kok lama sekali. 10 menit lagi saya mau meet up di Starbucks sama temen saya",2022-11-10 11:04:24
Sandi Moch,"Ini kenapa bug error trus, udah coba install ulang teuteup aja gini terus",2022-11-10 10:30:05
tyo doy,"APK lemot banget,kadang g bisa dibuka 😂 ngebug booooos",2022-11-10 10:06:20
andrew diazz,"Passcode nya yang mana ya,, kok baru buat akun uda ada passcode , ganti passcode nya jg gak bs, binggung ahh",2022-11-10 06:59:39
Erlis Ariani,Crew toko selalu bilang error untuk apply reward member matikan saja aplikasi ini tidak dapat digunakan Terimakasih,2022-11-09 21:35:18
Atikah Hanum,starbucks Indonesia terimakasih yaaa.. jaya selalu ya,2022-11-09 17:52:34
Hosea Erickson Auna,Akhirnya bisa dibuka kembali aplikasinya.,2022-11-09 16:55:07
Amru Makrufin Nasution,"app sudah hampir 2 hari tidak dapat digunakan. mohon segera diperbaiki, min",2022-11-09 11:17:43
Rahma Wati,jika kita lupa pascode untuk login pay gimana ya cara ganti nya sedang kan kl ganti pin harus di setel pin sebelum nya,2022-11-08 18:14:07
Ritha Amalia Darmansyah,"Starbucks terbaik, loyal banget sama customer",2022-11-08 16:56:17
fredy rusli,Ok,2022-11-07 18:32:33
Stanley Prijadi,Payahh ....mulai 03nov error terus ....reward byk hangus....diperbaiki dong krn kartu sdh rusak....hanya pake apl aja klo mau order,2022-11-07 12:51:20
kazaru Edogawa,Aplikasi apaan anjir ga bisa di buka buang2 kuota 👎,2022-11-06 22:07:04
Zaenal Wajid Supriyadinata,Kenapa ga bisa dibuka bro,2022-11-06 21:06:30
Irfan Anwardani15,"Ini udah 2 minggu kok ga bisa di buka, mau klaim reward jadi ga bisa",2022-11-06 20:05:30
Muhammad kris,"Padahal weekend gini enaknya ngopi di starbuck tapi , ehh malah aplikasinya gak bisa di buka Yaudah auto gk jadi ngopi",2022-11-06 19:38:03
Rezka Juliati,"Waktu mau tukerin reward malah g bsa login, kirain wifi atau pket datanya abis, udh coba instal ulang malah g ngaruh, cuma keluar tampilan logo doang,,, jdinya rewardnya g bsa dituker pdhl trkhirnya kmren😥",2022-11-06 18:24:41
Tri Joko,6/11/22 ga bisa di buka,2022-11-06 16:13:24
Fauzy Syawal,"Aplikasi gak bisa dipake, udh di topup saldo udah jauh"" OTW ke kota",2022-11-06 14:36:56
Inez Harefa,Gabisaaa digunakan,2022-11-06 14:28:46
Claudia Maria G K,Udah beberapa hari tapi aplikasi Starbucks masih error atau gimana nih.. Harusnya segera diperbaiki kalau memang ada bug,2022-11-06 14:22:35
Mukhlas Ikhsanudin,"Udah beberapa hari gak bisa ke buka stuck d logo, selama ini baik2 aja apk nya. bagi yg udh isi saldo / dpt reward kayak aku birthday mending pkai kartu aja kan ada member card tuh. Disitu kebaca saldo dan rewardnya juga serta masukin poin. Tolong segera di maintenance ya Starbuck.",2022-11-06 12:47:01
Leo Pandjaitan,"Gimana ini mau dipake buat beli minuman gak bisa dibuka. Mana masi banyak saldonya.. Terpaksa ngambil cash. Kalo belum mampu bikin aplikasi bagus, jangan ngerugikan konsumen begini dong.. Isinya juga gak bisa ditransfer balik ke rekening.👎👎👎",2022-11-06 11:31:07
Alvaro Monata,Erornya smp kapan sih?? Aku ad reward dan exp tgl 7 nov. Mana ak ad saldo d starbuck card,2022-11-06 11:07:04
Linda Fransiska12,apl bikin emosi ga bisa kebuka bikin malu saya aja depan staff starbucks nya,2022-11-06 10:52:42
Ayu,ga bisa ke buka aplikasinya..,2022-11-06 10:27:46
Citra Febria Lyadi,"Aplikasi jelek gakbisa dibuka cuma ngebug di logonya doang,padahal mau pakai saldo yang masih ada di card-nya",2022-11-06 10:21:53
tirai 40,Tidak biaa dibuka,2022-11-06 08:01:30
Jellynda Qui,"Saya sudah masuk, Daftar dllnya sudah ok. Tapi kok sekarang tidak mau masuk yaa. Setiap kali masuk stucknya di logo... Tolong diperbaiki",2022-11-06 05:19:58
Bobby Hattadisetiawan,Hang udah 1 Minggu,2022-11-05 17:37:47
christopher pee,Aplikasi error Hanya muncul logo,2022-11-05 13:51:54
Muhammad Riefqi Ferdhana Alhamdi,Jelek. Terlalu berat aplikasinya,2022-11-05 12:46:35
asep abdul rahman,Kenapa beberapa hari ini tidak bisa login ya,2022-11-05 12:30:12
Irwan Syah,Sdh berapa hari aplikasinya tidak bisa dibuka,2022-11-05 11:03:36
Marti Kusnindar,Aplikasi Starbucks tidak bisa dibuka mungkin karena sedang maintaince,2022-11-05 09:57:44
otobox indonesia,"ga bisa dibuka, stuck di covernya trs",2022-11-05 09:08:28
Rian Maulana,Aplikasi tidak biaa dibuka,2022-11-05 08:56:28
haryanto,Offline sampai berhari2. Saldo tidak biaa buat transaksi,2022-11-05 06:44:57
Yasama Nais,G bisa di buka apk nya sudah 5hari,2022-11-05 05:42:40
Fani Rahmadani Betawi,Server eror trs gak bsa login,2022-11-05 02:38:20
Eka Prasetya,"Kok gak bs masuk ya, lg error ya",2022-11-05 00:17:32
mila jamilah,Ko jadi ga bisa dibuka?,2022-11-04 22:26:17
satriyo kim,aplikasi tidak bisa di buka,2022-11-04 20:32:03
thalia margaret,Knapa gk bs login? TDK ADA KET LOGIN !,2022-11-04 20:29:58
Paijo Elek,"Gak bisa masuk, tampilan cuma ijo doang",2022-11-04 20:08:50
Rivanda Rizki,Erorr terus,2022-11-04 18:56:32
Taufik Ta,Kenapa gk bisa masuk????,2022-11-04 17:51:17
Ryan Aufa Prasetia,"masih banyak bug, error, dll. bukanya lama banget padahal wifi kenceng, coba paka data seluler juga masih susah ke buka, tolong segara perbaiki biar nyaman make apk nya",2022-11-04 17:47:46
Ariz Al arimi,kenapa stuck di logo? aplikasi tidak mau terbuka?,2022-11-04 17:29:35
faiqshl,"Tolong app nya kenapa gabisa bisa dibuka ya, udah beberapa hari terakhir ini gabisa dibuka, tolong starbucks solusinya, saya baru isi saldo lho padahal",2022-11-04 17:13:47
Arbi Syamsul Alam,Ini masih down yah ? Udah hari kedua loh,2022-11-04 16:42:55
PUSPITA MELATI (PUSPITA),Saya sudah beberapa hari ini tidak bisa buka aplikasi sama sekali,2022-11-04 16:26:50
Makna Bhara,Sedang eror kah hari ini,2022-11-04 16:13:14
muhammad iqbal,"Cuma sampai tampilan depan saja ,stack dilambang starbuks. Kenapa yaaaa?",2022-11-04 15:03:43
Rachel Angela Yaputra,Starbucks reward tidak bisa dibuka,2022-11-04 13:44:28
H arif H SH MH,Sdh punya akun tapi setelah dibuka tidak bisa ..,2022-11-04 13:00:01
Kerja Kita,"Aplikasi sudah error 3 hari, reward bakal hangus besok. Bagus pertahankan saja ya, nahan saldo customer.",2022-11-04 11:24:34
Syarif Husaini,bug gabisa dibuka,2022-11-04 10:59:20
Ariadi Safii,sudah dua hari aplikasi saya ngk bisa ke buka. Uda di uninstal berulang kali tapi tetap ngk bisaa kebuka. loadingnya lama banget. Jadi malass,2022-11-04 10:50:24
Mona Situmorang,"Apk ga bisa jln, pas dibuka yg muncul hanya tampilan logo starbucks nya doang. Kirain jaringan saya yg ngelag, eh ditungguin 30 menit jg masih kaya gitu. Cuma logo doang yg muncul. Tolong dong apknya diperbaiki lge suka error jg soalnya.",2022-11-04 10:46:54
Andrean Budiawan,Gabisa login lama,2022-11-04 10:32:24
Bankrupt Mapping,Waduh belum nyoba udah ngelag,2022-11-04 09:53:04
Andi Gazebo,"ini masuk aplikasi kok stag di logo aja? udah ganti hp ttp aja sama,kira hp nya yg udh gx suport,ternyata aplikasinya memang gx bisa di buka,tolong perbaikanya,baru ak naikan bintang nya lg.",2022-11-04 09:34:16
ferdinan hans,aplikasi tidak bisa dibuka,2022-11-04 09:00:44
lucky anggraeni,Lg maintenance ya aps ny udh 2hr ga bs k buka,2022-11-04 07:19:55
Ismiati Nur Istiqomah,"Sudah pernah digunakan berkali-kali, semula baik baik saja. Tapi sekarang tiba-tiba ngga bisa dibuka. Sudah coba uninstal dan instal lagi, tetap tidak bisa.",2022-11-03 21:10:16
ivone berghie,kdg ga bs di buka,2022-11-03 21:01:05
Ario Kusuma official,"Hari ini dri pagi smpe malam knp gak bisa buka aplikasinya, parah banget aplikasinya",2022-11-03 19:29:56
Livia Safitri,"Kenapa aplikasi nya tidak bisa di buka yaa?? Terakhir transaksi beli sih kemaren , tolong segera respon",2022-11-03 18:29:22
Ahmad Syahrizal,"Baru diinstall, aplikasinya error gk kebuka²...",2022-11-03 18:02:01
e zunk,Aplikasi nya ga bisa dibuka,2022-11-03 16:52:16
catans rancang,Apa lagi gangguan? Apk dan via web tidak bisa terhubung,2022-11-03 16:02:24
Jody Ibrahim,Loading lama,2022-11-03 14:49:58
Arizaldi Anwar,"Payah apkturbuk down knp.ya padahal kan aku pas ultahmau tdaktir temem,,, dan juga mana yg ultah di bulan nov birtday cake gk ada juga zzzzoooonk,,!!??????",2022-11-03 14:34:40
Siska Tamba,Suka nongki distarbuck,2022-11-03 14:24:22
rizkazulfiyana_,"udh di instal di hpku tp kok gabisa ya? mksdnya kek mau login gt gk muncul, dan udh aku scroll ke bawah tetep gabisa. knp ya? apa gabisa ya dihpku, hpku jadul emng oppo f1s",2022-11-03 14:18:02
Angga Ryana,Aplikas ga guna buat apa di bikin. Login aja kaga bisa,2022-11-03 13:56:32
Lauren Mastiur,Aplikasi gabisa dibuka sama sekali. Gimana ini??????,2022-11-03 13:21:59
finky risdanna,Lumayan dapet banyak reward tapi Tapi kenapa hari ini aplikasinya ga bisa di buka ya?,2022-11-03 13:12:06
susanto Lie,Saya sudah deposit d aplikasi ini. Lalu error pula. Uang ku hilang deh,2022-11-03 13:10:09
I widya,"Bintang 1 dulu yaa. Pas mau login minta konfirmasi kode yg dikirimkan ke email, tapi kodenya gak masuk ke email. Jadinya gak bisa pakai aplikasinya.",2022-11-01 15:00:09
Siti Homsinah,Loh kok gk bs sign up sih hahah ngakak,2022-11-01 11:56:54
ajeng retno,min kok gabisa login sih pdhl uda daftar,2022-10-28 07:46:18
Ahmad Maliki,Ok,2022-10-22 15:21:41
yohanaria manalu25,"Saya coba join, dan saya sudah daftarin sesuai dengan data diri saya yg benar, pendaftarannya juga sudah berhasil. Namun ketika saya hendak login keterangannya password/email yg saya masukan salah. Padahal saya sudah memasukan email dan password yg benar. Akhirnya saya coba pilih menu lupa password, dan masuk donk ke mail saya utk ubah apsword, dan paswordpun berhasil saya ubah, namun saat hendak login tetap tidak bisa, keterangannya password/email salah. Kacau ini aplikasi, hilang mood eh...",2022-10-22 12:29:31
Robales Channels,Yah harus top up.. Min 100 syg duitnya mending beli beras aja wkwkwkwkkw🤣,2022-10-22 09:55:46
Song Kang,Kota Bandung ga bisa order lewat mobile app ??,2022-10-20 12:25:06
Wibowo Eko Priyanto,"Tempat nyaman,suasana nyaman ,barista ok ..ok byk promo .",2022-10-20 12:16:55
Putri Nuritasari,Kenapa ketika ingin dikirim otp ada tulisan error' communication with server?,2022-10-20 07:53:39
anggi paramitha,Kenapa tidak ditemukan store terdekat di jogja kalau pakai apps ini?,2022-10-20 07:00:46
Yunita Defianti,"Gbs login. Email g masuk"".",2022-10-17 11:22:24
Brian Panambunan,"Mau sign up tapi referal kode wajib hahaha, a5u banget gue yg gaktau mau ngisi referal kodenya siapa tapi harus diwajibkan mengisi referal kode wkwkw, kan a5u habisin kuota",2022-10-16 19:40:35
Kiki Yp,"Gak guna bikin akun , gk bisa2 padahal udh di isi semua , ngeselin lu",2022-10-16 14:06:34
Sarah Aulia,Hebat,2022-10-16 01:19:23
Shevi Monica,"Tadinya gak bisa akhirnya dicoba-coba terus bisa, dan bisa beli Starbucks dengan harga 10k dan pelayanan nya pun barista nya tetep baik gak jutek 😂",2022-10-15 23:58:48
Imaey Imaey,Gk bisa membantu may dftr sja rumit sekali,2022-10-13 09:36:49
Brenda Ayu,"how could this happen? mau isi ulang kartu gabisa terus. udah ganti dari data - WiFi, install - reinstall tetep gabisa 😭",2022-10-13 05:36:14
vindriazzara putri,Bagus,2022-10-12 20:58:36
Arya Prasetia,Theese goods,2022-10-12 17:46:12
Dina Dian Anggraini,Aplikasi payah,2022-10-12 05:40:32
Siti Nur Ningsih,Susah berapa kali login juga daftar tetep tidak bisa berhasil berapa hari capek gw males ...,2022-10-10 14:57:19
Muhammad Fadli,Good apk,2022-10-09 16:19:08
Agustinus Tupenalay,Good,2022-10-08 07:53:27
Meilinda Purnamasari,Mau login selalu tidak valid padahal data semua sudah benar tolong dong di perbaiki,2022-10-08 00:08:39
nurhidayah ninda,"Tampilannya kuno di 2022, dan agak bingung tampilan home nya banyak bgt tulisan yg gk impact ke saya",2022-10-07 21:10:37
Adinsa Riya,"Isi saldo nominal kecil kaga ada,, payah banget ini harus yang besarr.. Mending bayar cash kalo ribet isi saldo kecil kaga bisa",2022-10-05 14:10:43
Riady rock,Mantap jiwa,2022-10-05 11:22:23
Phattar Official,"Sign up nya susah blok, gk ngarep minuman juga sih bye",2022-10-04 12:40:29
David Chandra,"Kecewa sih lokasi saya di Surabaya mau order by apps nearby store nya di JKT, saya search manual storenya nggak muncul",2022-10-02 19:49:17
Andi Mauris,Mantap,2022-10-01 20:25:14
Shekinah Viorensi,Rewards ga bs di klik knp y,2022-10-01 16:19:14
Rosdina Agustin,Mau daftar tp gabisa bisa pdahal data nya udah lengkap😣,2022-09-30 17:29:11
Jalalludin Muhamad Akbar,Udha download tapi nggk bisa dibuka,2022-09-29 17:16:01
mdif irfan,Ud install daftar reward nya malah g bisa dia pake. Harganya harga normal🐒,2022-09-29 15:57:47
andreann bagass,anda bikin pacar saya sedih,2022-09-29 13:59:40
Alwi Alwi,Bagus,2022-09-29 08:54:54
Anggita Dyah,sangat tidak berguna karena mau sign in aja susah padahal data sudah benar semua. disuruh kirim email pun malah tidak ada balasan,2022-09-29 08:35:00
BOLANG Bolang,Solusinya kalo salah masukin email gmn??masuk lagi pake no yg sama udh gal bisa??,2022-09-28 19:31:11
Siti Aisyah,"Karyawan yg di daerah bintaro plaza judes2 bgt orng mau nukerin riwed ajh ga bisa , katanya lagi ga nerima riwed trs saya blng brti ga bisa ya, eh trs tmn yg satunya lagi blng es batunya abis jdi yg mna yg bnr aneh ,orng mau nukerin vocer ko bkn mau minta, glran yg di ceger strubcknya orng2nya pd ramah good job bgt beda sama yg di plaza",2022-09-28 00:52:10
Yovita Sonia,"Lhaa malah salah password pas mau masuk,,pdhal kan sdh dftr tdi..begooo data guaa ktahuan daah",2022-09-27 21:51:51
Maryati Marry,Apa2an kata nya ada promo pake aplikasi giliran udah ke store nya karyawan nya jutek2 dan kata nya ga bisa pake reward mengecewakan Karyawan di bintaro plaza ga tau deh kalo di store lain seperti apa tolong donk pelayanan nya jangan seperti itu,2022-09-27 16:20:59
MRHERL1407,"sudah join, tapi pas login invalid user/pass, dan ketika mau join ulang nomer sudah terdaftar, payah nih keknya cuma mau ngambil data kita doang, dipake login kaga bisa",2022-09-27 13:51:36
Hobby Afk,"Gk bisa login gagal trs, nama gede hrga menunya mahal. Kok buat aplikasi kyk gini gk bisa apa IT nya disini sampah ya?",2022-09-26 03:02:04
Anam Garden,Aku harap kalau daftarin temen pakai kode referal free 1 beverage or 1 food,2022-09-25 23:56:42
nabila azzahra,"Hi min, ku bingung gmn ya ini forgot password tapi ko gak masuk ya emailnya?",2022-09-25 02:16:14
Atikah Nilamsari,Mantap 👍👍👍,2022-09-24 22:44:39
X_lBB_32_sholekhah nur Aini,Baik,2022-09-24 19:59:09
Yaman Arisma,Gak bisa login padahal udah daftar,2022-09-24 17:31:32
Riado Mora,Jualan kopi aja gausah pake aplikasi gini. Ga jelas banget aplikasinya. Error ancur mulu,2022-09-24 15:05:52
Artia P. Satyana,Tidak bisa klik sign in. Padahal email dan password sudah benar.,2022-09-23 21:47:17
Aldi A Haris,"Sudah top up tapi belum masuk saldonya dari tadi siang,statusnya pending terus...",2022-09-23 20:37:15
lucky rachmat,Top up BRI jdi g ada,2022-09-23 17:01:13
Rara Y,Lemot bangettt sumpah,2022-09-23 16:39:09
Selvi ani,Baru kali ini nu aplikasi yang lelet banget.,2022-09-23 15:54:55
Reihan Nurul Fauziah,"Semua udah oke, tapi ketika mau sign up selalu gagal alasannya otp invalid.padahal otp sudah ceklis hijau,ini gimana yah minta bantuannya biar mudah signup",2022-09-23 15:18:16
Dyan Kurniawan,Ngebug ya ? Mau login aja loading padahal mau bayar,2022-09-23 14:51:55
Binako Heylu,Semakin banyak lagi diskon,2022-09-23 13:42:29
Aiyana Azqilla,Susah sekali msuk applikasix lm loadingx,2022-09-23 13:29:48
Annidya kaisa Aqila haafidzah,Log in kode otp bner tp invalid terusss sudah coba beberapa kali hampir 2 jam Okelah uninstal aja,2022-09-23 09:23:22
Muhammad Zidane,"KAK INI YG BNER AJA MAU DELIVERY WILAYAH BANDUNG MASA GA ADA OUTLET NYA , DI SEARCH JUGA GA MUNCUL",2022-09-22 19:19:51
Zulfitri Fauziah,Yang mau pake referal code nih. Biar dapet potongan harga. Lumayan kan. ZULFITRIF-EF8B5C,2022-09-22 12:22:54
Kuuro Nightcore,Tidak bisa register,2022-09-21 19:11:04
Amanda wirdaini Kusuma,Gbisa d instal.,2022-09-21 19:08:54
Agung Wahyu,"MAP NYA NGEBUG , TOLONG DI BENERIN TOD",2022-09-21 15:19:42
Aco Ji,ACl GameSopt,2022-09-21 14:07:08
Mayang Saputri,"Haloo starbucks, kenapa ya kadang setelah topup, dana ga lgsg masuk kdang pending sampai 1 jam an",2022-09-21 13:53:46
Muhammad Imam R,Sign up aja harus pakai kode refferal. Jika tidak punya ga bsa dilanjutjan. Apa apaan aplikasi begini. Ga mutuu,2022-09-20 09:29:05
Cinta Qur'ratu Aini,"Sya udh download apk starbucks, udh isi data, dibagian paling bawah diminta kode referral. Sya gak punya kode referral, jd gmn donk???? Huhuhuhu...",2022-09-19 11:54:39
Stephanie Alvira,Mau nanya kenapa sekarang gabisa top up di BRI ya?,2022-09-19 11:19:00
Reza Utama,Daftar tapi ga bisa login. Lucu sekali. Dianggap id & password salah,2022-09-19 08:11:47
Suterisno Gunawan,Baru Mau joint send OTP ke no HP kok gak adayang masuk? Sudah coba berapakali tetap gak masuk otp nya Setelah email ke CS langsung direspon dan sudah bisa,2022-09-18 19:38:49
Rahmat Aulia,Kenapa mau daftar aja selalu gagal ? Padahal semua udah lengkap di isi,2022-09-18 00:27:05
Dani Suryadi,Kenapa ga bisa truss registrasinya ya???,2022-09-17 21:18:33
louis an,"The best👍 Dimanapun, kapanpun reward bisa dipakai. Outlet baru maupun lama tidak ada kendala sistem. Dan yg terpenting, sudah menjelajah di berbagai kota, tp jgn lupa performa barista tetap dijaga ya.",2022-09-17 13:56:41
Rio Permana Sanyulai,Mau login ko susah amat ya,2022-09-16 23:40:17
Kevin Kurniawan,Gagal otp terus menerus,2022-09-16 08:55:26
"Nina Yulianti,SH",Payah nyoba sign up aja ga bsa bisa otp g kekirim .aplikasi payah ..hadeuh,2022-09-15 17:36:19
Ayaa Jayana,"Maps nearby error, saya di samarinda. Yg nearby malah jakarta semua",2022-09-15 11:09:33
BamBen,"Heran, sekelas Starbucks tp aplikasinya bug. Otp verify ga masuk2. Ga bisa sign up.",2022-09-15 08:23:06
Norman Haposan Damanik,Haduh ini kok lemot banget mau top up aja yaa. Mohon diperbaiki yaaa. Masa iya customer mau bayar aja susah.,2022-09-10 10:59:30
conie aleandra,kok gabisa login ya..muter² terus..pas coba hapus data login lagi malah g bisa..padahal email sm pass ny uda bener...ini gmn coba,2022-09-10 10:40:59
Asniya Mufidah,It's great app,2022-09-09 17:23:47
Fernanda Oktavianus Santos,"Nice, moga berkembang trs. 👍👍👍",2022-08-29 19:52:21
Merti Prihatini,Mau registrasi dan sign up ga bisa2 kenapa ya? Udah masukin kode otp berkali2 tapi invalid terus!? Belum siap app nya ya? Harus nya mudah klo ga bisa registrasi gimana min? Kartinya tetep bisa dipakai ga nih ada saldonya soalnya nih min??!!,2022-08-28 19:29:40
Haryono Hary,Mantap,2022-08-27 07:12:10
Saidin Didin,OK,2022-08-24 18:50:17
Novia Anjelina Safitri,"Min cara belanja nya gimana ,saya di kalsel min",2022-08-21 19:03:34
rangga prasetyo,Sign up gabisa bisa,2022-08-17 15:42:28
Hakri Jojo,"Apk ga jelas, kode otp udah bener di kata salah, di ulang lagi nomor telar terdaftar. Ketika mau login. Malah tidak terdaftar",2022-08-16 23:43:09
Adityarico (Adit),kenapa aplikasi sering berhenti sendiri tolong cepat perbaiki agar saya bisa tambah bintang nya⭐⭐⭐⭐⭐,2022-08-13 12:47:57
Alifia Imananda Putri,"Login susah amat. Pas udah berhasil, tiap mau order lokasinya di Jakarta terus, Searching lokasi Surabaya ga ada, hadeeh mana masih ada saldonya. Mau dipake aplikasinya gajelas. Kalau belum siap, mending gausah aplikasi aplikasinya, nama udah gede harga mahal kok kayak gini.",2022-08-07 18:46:49
aisyah syahda,Untuk dapetin code refferal nya gimana ya ? Susah banget mau join,2022-08-04 18:17:25
ElsaFajar Channel,Kenapa setiap mau sign in sudah request code lewat email tapi belum masuk juga emailnya. Sudah cob sampek 5x tetep gak ada email masuk.,2022-08-03 19:48:20
MARTALIA MANURUNG,"Saya Gak bisa sign up , sms otpnya selalu berhasil masuk pas masuk sign up gak berhasil .",2022-08-02 15:14:54
Sherly Ginting,Nice service n ramah,2022-08-02 14:27:40
nova susanti,Kereenn tingkatkan promo nya,2022-08-01 08:26:35
Kindyjoy,"Udah nyoba login berkali2 gabisa malah ke blokir pdhl email dan pass nya bener tpi selalu bilang pw/email salah, chat ke ig sbux ga di respond. Tolong dong tingkatin lagi performa apk nya",2022-07-29 21:05:20
Viga Assa'di,"Bagus, top up nya juga mudah 👍",2022-07-26 09:51:12
Oky Simatupang,Transaksi lancar n ga ada kendala. Thanks starbucks. 👍🏻,2022-07-25 15:19:47
Dwi Putra,"Ga bisa sign up, padahal otp bener. Hmmmz..",2022-07-24 16:38:49
belmondo manuputty,"Ini saya tidak bisa masuk ke app starbucks, mau claim vocher!!!! Tolong di perbaiki dong",2022-07-23 20:27:43
Cristine Sumianti,"Ini aplikasi aneh,sy mau join gak bisa,sdh 10x dicoba tp tetap gak bisa.Mungkin Starbuck ini tdk butuh costumer ya.Kalo say sih gak mslh gak punya akun starbuck,sekedar ingin tau saja sih.Sy punya aplikasi kopi kekinian yg lagi naik daun.",2022-07-22 11:24:16
Ryan Ubryan,Good applikasi,2022-07-21 09:43:57
Teta Tefrita,G bisa daftar udah coba berkali kali,2022-07-18 20:33:52
Anggre Mata,"Pengen regis gk bs min,gimana dong",2022-07-16 12:17:13
Sri Hartati,"Aplikasi starbucks saya kenapa gak bisa di buka ya? Udah log in bbrp kali, tapi selalu gak bisa. Pdhl udah masukin email n Password yg bener. Kalo mau buka aplikasi nya loading lama banget. Pdhl udh pake wifi dan data seluler. Tolong ini gimana ya kebijakannya? Saya termasuk seneng belanja di starbucks, cuma karna aplikasi nya ini susah di buka, jd saya agak sebel. Tolong perbaikan atau saran nya.",2022-07-14 13:57:08
adanihz,Kok mau sign up mau masukin alamat email g BS y,2022-07-13 18:47:38
